,w_wg_list,n_eff2,n_eff3,n_eff4
0,0.2,1.9225828509267753,1.7706044440750233,1.4338529323694413
1,0.21,1.9225831100682869,1.7706176465768588,1.4338502229749268
2,0.22,1.9244221501614225,1.7887217002533753,1.436975025930694
3,0.23,1.9263956031169558,1.8092966931103815,1.4400799426873656
4,0.24,1.9263961951859803,1.8093024572305356,1.4400827364280524
5,0.25,1.9263952085098333,1.809293552979552,1.44008125183213
6,0.26,1.9263961363929576,1.8092908844280802,1.4400781275799643
7,0.27,1.9313546568783688,1.8610773849201074,1.6331209079764986
8,0.28,1.931354388180357,1.8610778973007083,1.6331205356894876
9,0.29,1.9313564528271139,1.8610756855122623,1.6331222703473793
10,0.3,1.9313542372636823,1.861077769891075,1.633117487740399
11,0.31,1.938123439790605,1.9371230482869661,1.7559425532370367
12,0.32,1.938117193511522,1.937121140205695,1.7559426266209566
13,0.33,1.9381216489385995,1.9371247053096474,1.7559425802829842
14,0.34,1.9381224590485124,1.937124214872944,1.7559426576505281
15,0.35,2.0220848112695817,1.947775825121341,1.8035989139030972
16,0.36,2.0220966889970557,1.9477780798832005,1.803598193002169
17,0.37,2.022084482291805,1.9477766765744793,1.803596967338397
18,0.38,2.0220891777690784,1.9477794409150602,1.8035974005696078
19,0.39,2.0967569280801333,1.9622162883297827,1.8265819560100234
20,0.4,2.096754855038301,1.9622164935203878,1.8265817042121233
21,0.41,2.0967509101169477,1.9622152397220618,1.8265816221601292
22,0.42,2.129284453171149,1.972219690992975,1.8342073229292282
23,0.43,2.158890713984155,1.9848694901742392,1.8404374231097753
24,0.44,2.1588968196600886,1.9848714210377572,1.8404399528913682
25,0.45,2.158884252364884,1.9848721551741597,1.8404381822687652
26,0.46,2.1858073687792077,2.0010606873574663,1.845643618516552
27,0.47,2.2103065913126776,2.021854475969052,1.8501455546320504
28,0.48,2.2103013457629785,2.021847917208188,1.8501444426099571
29,0.49,2.210330041570256,2.0218428506581656,1.8501459777730784
30,0.5,2.2326368967662473,2.048304800778306,1.8542504154512642
31,0.51,2.252995705650563,2.081264815948238,1.8579600145966297
32,0.52,2.2529981953414477,2.081267798537136,1.85795712948275
33,0.53,2.252983239255652,2.081280057569716,1.8579512765440132
34,0.54,2.2715933041975833,2.1206737522592993,1.861711885015032
35,0.55,2.2886378612845655,2.1654020571241617,1.8652562918527928
36,0.56,2.2886353667763415,2.1653981564144993,1.8652577211401922
37,0.57,2.2886352152338953,2.165413452836568,1.8652615388351081
38,0.58,2.3042708352878263,2.213518048224083,1.8692788509669775
39,0.59,2.318620559838997,2.262893757157353,1.8732251253157497
40,0.6,2.318615919917601,2.2629302211579336,1.87322468030769
41,0.61,2.3186137226593013,2.2629305380126774,1.8732242202527
42,0.62,2.3318296138359558,2.311927534966322,1.8781569156669333
43,0.63,2.3593980821337586,2.344023777173375,1.8831546101438692
44,0.64,2.359370339715198,2.3440287511258058,1.883156485335832
45,0.65,2.359418564236139,2.34401970156154,1.883157139218887
46,0.66,2.4472510747418283,2.3657074194313545,1.8968480204771991
47,0.67,2.447233619239435,2.365703571255723,1.896844404951827
48,0.68,2.4472248854697054,2.365707082313854,1.8968498558700666
49,0.69,2.4472691793357915,2.365705671308621,1.8968426113438714
50,0.7,2.4871884066762537,2.37536812857523,1.9085479987486373
51,0.71,2.524471041615335,2.3843556664726813,1.9238008893583924
52,0.72,2.524483681301073,2.3843555036701534,1.9237968365621039
53,0.73,2.524482105994965,2.3843517375844523,1.923797489149526
54,0.74,2.559225795191767,2.3927103526546514,1.9425330843400808
55,0.75,2.5915702104798446,2.4005061290073066,1.9610278442007376
56,0.76,2.5915911915697394,2.400506306063607,1.9610256103956776
57,0.77,2.591591168140451,2.4005078116103844,1.9610276403595146
58,0.78,2.621673109627297,2.407782615781025,1.9802793656226856
59,0.79,2.649696247572253,2.4145926241001345,1.9993125737310835
60,0.8,2.6496958511232602,2.414592426117316,1.9993142250314586
61,0.81,2.6496918180705893,2.414588539033934,1.9993115031725717
62,0.82,2.6758009816752155,2.4209760000725056,2.0240815873132414
63,0.83,2.700142669363143,2.4269690144698375,2.057616139931144
64,0.84,2.7001566203780754,2.4269634802217004,2.0575976218333416
65,0.85,2.7001486471899447,2.4269717812970835,2.0575946734541297
66,0.86,2.722878423498423,2.4326262210182996,2.09421443054898
67,0.87,2.7441149985385374,2.4379507119411357,2.1326115039219635
68,0.88,2.7441093057296686,2.437943158414986,2.132647473458806
69,0.89,2.744107576294667,2.4379489905282297,2.1326571130780656
70,0.9,2.7639828702416542,2.4429900274111542,2.1717985612425466
71,0.91,2.7825872873308133,2.44777903950078,2.2107656789382064
72,0.92,2.7825877366893557,2.4477814180156168,2.210794440719769
73,0.93,2.7825663282253945,2.4477781329526644,2.21079212261716
74,0.94,2.800045886719648,2.4523585442156923,2.248925064956906
75,0.95,2.816440220916837,2.4567688007661883,2.285845524905593
76,0.96,2.8164425906724078,2.456769889845213,2.2858150513289224
77,0.97,2.816447621490027,2.456769465621042,2.2858348134209328
78,0.98,2.8318360775206126,2.461076383697962,2.3211964540606953
79,0.99,2.846352755588177,2.465375713473049,2.3547415520007116
80,1.0,2.8463524324357996,2.4653689316958145,2.3547617186139136
